code,name,spec,unit,category,cost,price,sale_price,avg_cost,created_at,stock_qty,purchase_qty_total,safety_stock
A100,草蝦0號A,10kg,包,A1,490,460,401,7,2026/2/23 10:02,0,0,0
A101,草蝦1號A,10kg,包,A1,405.9,490,460,401.039,2026/2/23 10:02,0,0,0
A102,草蝦2號A,10kg,包,A1,405.9,490,460,401,2026/2/23 10:02,0,0,0
A103,草蝦3號A,10kg,包,A1,405.9,490,460,401.047,2026/2/23 10:02,0,0,0
A104,草蝦4號A,20kg,包,A1,792,930,900,784.78,2026/2/23 10:02,0,0,0
A105,草蝦5號A,10KG,包,A1,930,900,740,0,2026/2/23 10:02,0,0,0
A106,班節蝦神盾,10kg,包,A1,615,760,730,615,2026/2/23 10:02,0,0,0
A107,草蝦華陀,10kg,包,A1,585,710,680,585,2026/2/23 10:02,0,0,0
A110,石班1號,20kg,包,B4,999.9,1200,1150,999.9,2026/2/23 10:02,0,0,0
A111,石班2號,20kg,包,B4,999.9,1200,1150,999.9,2026/2/23 10:02,0,0,0
A112,石班3號,20kg,包,B4,999.9,1200,1150,0,2026/2/23 10:02,0,0,0
A113,石班4號,20kg,包,B4,999.9,1120,1150,999.9,2026/2/23 10:02,0,0,0
A114,石班5號,20kg,包,B4,999.9,1200,1150,0,2026/2/23 10:02,0,0,0
A115,石班6號,20kg,包,B4,999.9,1200,1150,999.9,2026/2/23 10:02,0,0,0
A116,石班7號,20kg,包,B4,999.9,1200,1150,950,2026/2/23 10:02,0,0,0
A117,石班8號,20kg,包,B4,999.9,1200,1150,0,2026/2/23 10:02,0,0,0
A118,石班9號,20kg,包,B4,999.9,1200,1150,999.9,2026/2/23 10:02,0,0,0
A119,龍膽石班浮料,25kg,包,B4,1247.4,0,1360,1247.4,2026/2/23 10:02,0,0,0
A120,虱目魚苗(合益),30kg,包,A2,495,570,540,660,2026/2/23 10:02,0,0,0
A121,虱目魚苗(散裝),kg,包,A3,13.67,0,17,22.488,2026/2/23 10:02,0,0,0
A122,虱目幼魚(合益),30kg,包,A2,475,570,540,475,2026/2/23 10:02,0,0,0
A123,虱目成魚(合益),30kg,包,A2,495,570,540,495,2026/2/23 10:02,0,0,0
A124,虱目小浮(合益),30kg,包,A2,585,670,640,0,2026/2/23 10:02,0,0,0
A125,虱目中浮(合益),30kg,包,A2,585,670,640,585,2026/2/23 10:02,0,0,0
A126,虱目大浮(合益)30,30kg,包,A2,570,670,640,0,2026/2/23 10:02,0,0,0
A127,虱目大浮(合益)40,20kg,包,A2,585,670,640,0,2026/2/23 10:02,0,0,0
A128,虱目大浮(合益)50,30kg,包,A2,585,670,640,0,2026/2/23 10:02,0,0,0
